,Unnamed: 0,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,job_title_clean,employee_residence_clean,company_location_clean,log_salary_usd,remote_type
0,0,2020,mi,ft,Data Scientist,70000,eur,79833,DE,0,DE,l,data scientist,de,de,11.28770475786082,presencial
1,1,2020,se,ft,Machine Learning Scientist,260000,usd,260000,JP,0,JP,s,other,other,other,12.468440756144114,presencial
2,2,2020,se,ft,Big Data Engineer,85000,gbp,109024,GB,50,GB,m,other,gb,gb,11.599332492710968,híbrido
3,3,2020,mi,ft,Product Data Analyst,20000,usd,20000,HN,0,HN,s,other,other,other,9.90353755128617,presencial
4,4,2020,se,ft,Machine Learning Engineer,150000,usd,150000,US,50,US,l,machine learning engineer,us,us,11.918397239722838,híbrido
5,5,2020,en,ft,Data Analyst,72000,usd,72000,US,100,US,l,data analyst,us,us,11.184435286790631,remoto total
6,6,2020,se,ft,Lead Data Scientist,190000,usd,190000,US,100,US,s,other,us,us,12.154784614286667,remoto total
7,7,2020,mi,ft,Data Scientist,11000000,huf,35735,HU,50,HU,l,data scientist,other,other,10.483913863031955,híbrido
8,8,2020,mi,ft,Business Data Analyst,135000,usd,135000,US,100,US,l,other,us,us,11.813037464800539,remoto total
9,9,2020,se,ft,Lead Data Engineer,125000,usd,125000,NZ,50,NZ,s,other,other,other,11.736077016252437,híbrido
10,10,2020,en,ft,Data Scientist,45000,eur,51321,FR,0,FR,s,data scientist,other,other,10.845874789131557,presencial
11,11,2020,mi,ft,Data Scientist,3000000,inr,40481,IN,0,IN,l,data scientist,in,in,10.60861270985548,presencial
12,12,2020,en,ft,Data Scientist,35000,eur,39916,FR,0,FR,m,data scientist,other,other,10.594557577300874,presencial
13,13,2020,mi,ft,Lead Data Analyst,87000,usd,87000,US,100,US,l,other,us,us,11.373674891823535,remoto total
14,14,2020,mi,ft,Data Analyst,85000,usd,85000,US,100,US,l,data analyst,us,us,11.350418300109132,remoto total
15,15,2020,mi,ft,Data Analyst,8000,usd,8000,PK,50,PK,l,data analyst,other,other,8.987321812850125,híbrido
16,16,2020,en,ft,Data Engineer,4450000,jpy,41689,JP,100,JP,s,data engineer,other,other,10.638016570874843,remoto total
17,17,2020,se,ft,Big Data Engineer,100000,eur,114047,PL,100,GB,s,other,other,gb,11.644374691390427,remoto total
18,18,2020,en,ft,Data Science Consultant,423000,inr,5707,IN,50,IN,m,other,in,in,8.649623978596727,híbrido
19,19,2020,mi,ft,Lead Data Engineer,56000,usd,56000,PT,100,US,m,other,other,us,10.933124826700707,remoto total
20,20,2020,mi,ft,Machine Learning Engineer,299000,cny,43331,CN,0,CN,m,machine learning engineer,other,other,10.676646671065457,presencial
21,21,2020,mi,ft,Product Data Analyst,450000,inr,6072,IN,100,IN,l,other,in,in,8.711607995897575,remoto total
