salary,salary_in_usd,remote_ratio_bin,experience_level_tr,company_size_M,company_size_S,work_year,employment_FL,employment_FT,employment_PT
70000,79833,0,1,0,0,2020,0,1,0
260000,260000,0,2,0,1,2020,0,1,0
85000,109024,0,2,1,0,2020,0,1,0
20000,20000,0,1,0,1,2020,0,1,0
150000,150000,0,2,0,0,2020,0,1,0
72000,72000,1,0,0,0,2020,0,1,0
190000,190000,1,2,0,1,2020,0,1,0
11000000,35735,0,1,0,0,2020,0,1,0
135000,135000,1,1,0,0,2020,0,1,0
125000,125000,0,2,0,1,2020,0,1,0
45000,51321,0,0,0,1,2020,0,1,0
3000000,40481,0,1,0,0,2020,0,1,0
35000,39916,0,0,1,0,2020,0,1,0
87000,87000,1,1,0,0,2020,0,1,0
85000,85000,1,1,0,0,2020,0,1,0
8000,8000,0,1,0,0,2020,0,1,0
4450000,41689,1,0,0,1,2020,0,1,0
100000,114047,1,2,0,1,2020,0,1,0
423000,5707,0,0,1,0,2020,0,1,0
56000,56000,1,1,1,0,2020,0,1,0
299000,43331,0,1,1,0,2020,0,1,0
450000,6072,1,1,0,0,2020,0,1,0
42000,47899,0,2,0,0,2020,0,1,0
98000,98000,0,1,1,0,2020,0,1,0
115000,115000,0,1,0,0,2020,0,1,0
325000,325000,1,3,0,0,2020,0,1,0
42000,42000,0,0,0,0,2020,0,1,0
720000,33511,0,2,0,1,2020,0,1,0
100000,100000,1,0,0,0,2020,0,0,0
157000,117104,0,2,0,0,2020,0,1,0
51999,59303,1,1,0,1,2020,0,1,0
70000,70000,1,0,0,0,2020,0,1,0
60000,68428,1,2,0,0,2020,0,1,0
450000,450000,0,1,1,0,2020,0,1,0
41000,46759,0,1,0,0,2020,0,1,0
65000,74130,0,1,0,0,2020,0,1,0
103000,103000,1,1,0,0,2020,0,1,0
250000,250000,0,0,0,0,2020,0,1,0
10000,10000,1,0,0,1,2020,0,1,0
138000,138000,1,0,0,1,2020,0,1,0
45760,45760,1,1,0,1,2020,0,1,0
70000,79833,0,3,0,0,2020,0,1,0
44000,50180,0,1,1,0,2020,0,1,0
106000,106000,1,1,0,0,2020,0,1,0
88000,112872,0,1,0,0,2020,0,1,0
14000,15966,1,0,0,1,2020,0,0,1
60000,76958,1,1,0,1,2020,0,1,0
188000,188000,1,2,0,0,2020,0,1,0
105000,105000,1,1,0,0,2020,0,1,0
61500,70139,0,1,0,0,2020,0,1,0
450000,6072,0,0,0,1,2020,0,1,0
91000,91000,1,0,0,0,2020,0,1,0
300000,45896,0,0,0,1,2020,0,1,0
48000,54742,1,0,0,0,2020,0,1,0
60000,60000,1,2,0,1,2020,1,0,0
130000,148261,1,2,1,0,2020,0,1,0
34000,38776,1,1,1,0,2020,0,1,0
118000,118000,1,1,1,0,2020,0,1,0
120000,120000,0,2,0,0,2020,0,1,0
138350,138350,1,1,1,0,2020,0,1,0
110000,110000,1,1,0,0,2020,0,1,0
130800,130800,1,1,1,0,2020,0,1,0
19000,21669,0,0,0,1,2020,0,0,1
412000,412000,1,2,0,0,2020,0,1,0
40000,45618,1,2,0,1,2020,0,1,0
55000,62726,0,0,0,1,2020,0,1,0
43200,49268,0,0,0,1,2020,0,1,0
190200,190200,1,2,1,0,2020,0,1,0
105000,105000,1,0,0,1,2020,0,1,0
80000,91237,0,2,0,1,2020,0,1,0
55000,62726,0,1,0,1,2020,0,1,0
37000,42197,0,1,0,1,2020,0,1,0
60000,82528,0,0,0,0,2021,0,1,0
150000,150000,1,3,0,0,2021,0,1,0
235000,235000,1,3,0,0,2021,0,1,0
45000,53192,0,2,0,0,2021,0,1,0
100000,100000,1,1,1,0,2021,0,1,0
400000,5409,0,1,1,0,2021,0,0,1
270000,270000,1,1,0,0,2021,0,0,0
80000,80000,1,0,1,0,2021,0,1,0
67000,79197,1,2,0,0,2021,0,1,0
140000,140000,1,1,0,0,2021,0,1,0
68000,54238,0,1,0,0,2021,0,1,0
40000,47282,1,1,0,1,2021,0,1,0
130000,153667,1,3,0,0,2021,0,1,0
110000,28476,1,1,0,0,2021,0,1,0
50000,59102,0,0,1,0,2021,0,1,0
110000,110000,1,1,0,0,2021,0,1,0
170000,170000,1,2,0,0,2021,0,1,0
80000,80000,1,2,0,1,2021,0,1,0
75000,88654,1,2,0,0,2021,0,1,0
65000,76833,1,0,0,1,2021,0,1,0
1450000,19609,1,1,0,0,2021,0,1,0
276000,276000,0,2,0,0,2021,0,1,0
2200000,29751,0,0,0,0,2021,0,1,0
120000,89294,0,1,0,0,2021,0,1,0
12000,12000,1,0,0,1,2021,0,0,1
450000,450000,1,1,0,0,2021,0,1,0
70000,70000,1,0,1,0,2021,0,1,0
81000,95746,1,1,0,1,2021,0,1,0
75000,75000,0,1,0,0,2021,0,1,0
