consulta,categoria,respuesta,respuesta_compuesta,respuestas_compuestas
¿Cómo me inscribo al próximo semestre?,matriculas,"Para inscribirte al próximo semestre, debes ingresar al portal estudiantil con tu usuario y contraseña, seleccionar la opción 'Inscripción', elegir las materias que cursarás y finalmente generar tu comprobante de pago. El plazo de inscripción es del 15 al 30 de julio.","Para me inscribo al próximo semestre, Para inscribirte al próximo semestre, debes ingresar al portal estudiantil con tu usuario y contraseña, seleccionar la opción 'Inscripción', elegir las materias que cursarás y finalmente generar tu comprobante de pago. El plazo de inscripción es del 15 al 30 de julio.","Para inscribirte inscribo al próximo semestre, Para inscribirte al próximo semestre, debes ingresar al portal estudiantil con tu usuario y contraseña, seleccionar la opción 'Inscripción', elegir las materias que cursarás y finalmente generar tu comprobante de pago. El plazo de inscripción es del 15 al 30 de julio."
¿Cuál es la fecha límite para inscribirse?,matriculas,"La fecha límite para completar tu inscripción es el 30 de julio. Después de esta fecha, deberás solicitar un permiso especial en la secretaría académica y posiblemente pagar un recargo por inscripción tardía.","La la fecha límite para inscribirse es, La fecha límite para completar tu inscripción es el 30 de julio. Después de esta fecha, deberás solicitar un permiso especial en la secretaría académica y posiblemente pagar un recargo por inscripción tardía.","La la fecha límite para inscribirse es, La fecha límite para completar tu inscripción es el 30 de julio. Después de esta fecha, deberás solicitar un permiso especial en la secretaría académica y posiblemente pagar un recargo por inscripción tardía."
¿Qué documentos necesito para la matrícula?,matriculas,"Para realizar tu matrícula necesitas: identificación oficial vigente, comprobante de domicilio reciente, certificado del nivel educativo anterior, 4 fotografías tamaño carnet y el comprobante de pago de la cuota de inscripción.","Lo que necesitas saber sobre documentos necesito para la matrícula es, Para realizar tu matrícula necesitas: identificación oficial vigente, comprobante de domicilio reciente, certificado del nivel educativo anterior, 4 fotografías tamaño carnet y el comprobante de pago de la cuota de inscripción.","Lo que necesitas saber sobre documentos necesito para la matrícula es, Para realizar tu matrícula necesitas: identificación oficial vigente, comprobante de domicilio reciente, certificado del nivel educativo anterior, 4 fotografías tamaño carnet y el comprobante de pago de la cuota de inscripción."
¿Cuánto cuesta la inscripción?,matriculas,"El costo de inscripción para el semestre actual es de $2,500 pesos. Este monto incluye el derecho a materias, seguro estudiantil y acceso a instalaciones. No incluye material didáctico ni libros de texto.","El valor relacionado con cuesta la inscripción es, El costo de inscripción para el semestre actual es de $2,500 pesos. Este monto incluye el derecho a materias, seguro estudiantil y acceso a instalaciones. No incluye material didáctico ni libros de texto.","El valor relacionado con cuesta la inscripción es, El costo de inscripción para el semestre actual es de $2,500 pesos. Este monto incluye el derecho a materias, seguro estudiantil y acceso a instalaciones. No incluye material didáctico ni libros de texto."
¿Dónde puedo pagar mi matrícula?,matriculas,"Puedes pagar tu matrícula en cualquier sucursal bancaria con la ficha de pago que generes en el portal estudiantil, mediante transferencia bancaria, o directamente en la caja de la institución ubicada en el edificio administrativo de lunes a viernes de 8:00 a 14:00 horas.","Puedes hacerlo en el lugar donde, Puedes pagar tu matrícula en cualquier sucursal bancaria con la ficha de pago que generes en el portal estudiantil, mediante transferencia bancaria, o directamente en la caja de la institución ubicada en el edificio administrativo de lunes a viernes de 8:00 a 14:00 horas.","Puedes realizarlo en el lugar donde, Puedes pagar tu matrícula en cualquier sucursal bancaria con la ficha de pago que generes en el portal estudiantil, mediante transferencia bancaria, o directamente en la caja de la institución ubicada en el edificio administrativo de lunes a viernes de 8:00 a 14:00 horas."
¿Hay descuentos en la matrícula?,matriculas,"Sí, ofrecemos descuentos en la matrícula por: promedio académico destacado (15% con promedio superior a 9.0), hermanos inscritos (10% al segundo hermano), pago anticipado (5% pagando antes del 5 de julio) y convenios institucionales (verificar en caja).","Con respecto a tu pregunta sobre hay descuentos en la matrícula,, Sí, ofrecemos descuentos en la matrícula por: promedio académico destacado (15% con promedio superior a 9.0), hermanos inscritos (10% al segundo hermano), pago anticipado (5% pagando antes del 5 de julio) y convenios institucionales (verificar en caja).","Con respecto a tu pregunta sobre hay descuentos en la matrícula,, Sí, ofrecemos descuentos en la matrícula por: promedio académico destacado (15% con promedio superior a 9.0), hermanos inscritos (10% al segundo hermano), pago anticipado (5% pagando antes del 5 de julio) y convenios institucionales (verificar en caja)."
¿Puedo pagar la matrícula en cuotas?,matriculas,"Sí, contamos con un plan de pagos en 3 cuotas. La primera cuota (50%) debe pagarse al momento de la inscripción, la segunda (25%) antes del 15 de septiembre y la tercera (25%) antes del 15 de octubre. Debes firmar un convenio en el departamento de finanzas.","Con respecto a tu pregunta sobre puedo pagar la matrícula en cuotas,, Sí, contamos con un plan de pagos en 3 cuotas. La primera cuota (50%) debe pagarse al momento de la inscripción, la segunda (25%) antes del 15 de septiembre y la tercera (25%) antes del 15 de octubre. Debes firmar un convenio en el departamento de finanzas.","Con respecto a tu pregunta sobre puedo pagar la matrícula en cuotas,, Sí, contamos con un plan de pagos en 3 cuotas. La primera cuota (50%) debe pagarse al momento de la inscripción, la segunda (25%) antes del 15 de septiembre y la tercera (25%) antes del 15 de octubre. Debes firmar un convenio en el departamento de finanzas."
Necesito información sobre inscripción,matriculas,"El proceso de inscripción se realiza en el portal estudiantil. Las fechas para el próximo semestre son del 15 al 30 de julio. Necesitarás tu usuario, contraseña y tener claras las materias que deseas cursar. Si tienes problemas con el acceso, puedes acudir al departamento de sistemas.","Lo que necesitas es, El proceso de inscripción se realiza en el portal estudiantil. Las fechas para el próximo semestre son del 15 al 30 de julio. Necesitarás tu usuario, contraseña y tener claras las materias que deseas cursar. Si tienes problemas con el acceso, puedes acudir al departamento de sistemas.","Lo que necesitas es, El proceso de inscripción se realiza en el portal estudiantil. Las fechas para el próximo semestre son del 15 al 30 de julio. Necesitarás tu usuario, contraseña y tener claras las materias que deseas cursar. Si tienes problemas con el acceso, puedes acudir al departamento de sistemas."
¿Qué pasos debo seguir para renovar mi inscripción académica?,matriculas,"Ingresa al portal estudiantil, selecciona 'Renovación de inscripción', confirma tus datos personales y genera tu comprobante de pago.","Lo que necesitas saber sobre pasos debo seguir para renovar mi inscripción académica es, Ingresa al portal estudiantil, selecciona 'Renovación de inscripción', confirma tus datos personales y genera tu comprobante de pago.","Lo que necesitas saber sobre pasos debo seguir para renovar mi inscripción académica es, Ingresa al portal estudiantil, selecciona 'Renovación de inscripción', confirma tus datos personales y genera tu comprobante de pago."
Tengo dudas sobre el proceso de matrícula,matriculas,"El proceso de matrícula consta de 4 pasos: 1) Acceso al portal estudiantil, 2) Selección de materias, 3) Generación de ficha de pago, 4) Pago y confirmación. Si tienes dudas específicas, puedes contactar a servicios escolares al correo servescolares@institucion.edu.","Con respecto a tu pregunta sobre tengo dudas sobre el proceso de matrícula,, El proceso de matrícula consta de 4 pasos: 1) Acceso al portal estudiantil, 2) Selección de materias, 3) Generación de ficha de pago, 4) Pago y confirmación. Si tienes dudas específicas, puedes contactar a servicios escolares al correo servescolares@institucion.edu.","Con respecto a tu pregunta sobre tengo dudas sobre el proceso de matrícula,, El proceso de matrícula consta de 4 pasos: 1) Acceso al portal estudiantil, 2) Selección de materias, 3) Generación de ficha de pago, 4) Pago y confirmación. Si tienes dudas específicas, puedes contactar a servicios escolares al correo servescolares@institucion.edu."
